id,author,description,pubdate
38,@deniatobing4979,i am australian the match was not satisfactory from the referee it was not offside who took an onside kick witan scored a goal and gave a pass to sananta if you want to cheat and don t like the indonesian national team the winnings will be given directly to uzbekistan without having to compete this crazy soccer game is played and made a joke in asia and even the world the struggle and hard work and justice of the indonesian people are number 1,2024-05-01 14:09:48
39,@adhylegex5456,timnas sekarang takut sama team mana tp takut sama wasit,2024-05-01 13:52:21
40,@muhammadfaris1792,wasit taianjng,2024-05-01 13:29:40
41,@thepinkasrofi7214,komentator kok ngikuti yg laku wasit,2024-05-01 13:17:57
42,@TonciTetrapoit,gol golllll,2024-05-01 13:11:48
43,@CitraUsaha-xe6zt,tdk tambah bang abang salah lihat,2024-05-01 13:09:29
44,@CitraUsaha-xe6zt,bang tdk jadi ukur kali masuk final kalo wasit netral,2024-05-01 13:06:49
45,@CitraUsaha-xe6zt,kentara sekali nego nya sengaja uang sogok tdk ambil,2024-05-01 13:03:06
46,@CitraUsaha-xe6zt,gol murni tadi itu wasit yg cari gara gara,2024-05-01 13:00:37
47,@user-on5tg5gl9d,cari main naturalisasi kalah cari kambing hitam kasihan sekali indonesia ,2024-05-01 12:39:52
48,@esasesanto2919,uzbekistan an garuda sangat hebat lebih wasit error,2024-05-01 12:31:31
49,@cuacatropis4349,kalah yo kalah ae,2024-05-01 11:53:22
50,@rahmanditahibatullah,18  32 daf kkk malah gak sah gol,2024-05-01 11:34:40
51,@MuhAlifsyarif,wasit nya yg curang tu,2024-05-01 11:32:25
52,@roki.gemblung,awal indonesia sdh kalah mental bombardir terus bahkan tdk dekat gawang lawan ini jadi kl terlalu sanjung menang,2024-05-01 11:32:18
53,@MuhAlifsyarif,wasit curang tu,2024-05-01 11:30:49
54,@AziebEminor,dulu indonesia terlalu fokus main serang banding bek sekarang semua imbang keren banget meski kalah wasit tetap semangat indonesia ,2024-05-01 11:17:21
55,@riyan5820,uzbekistan kayak babi moga indonesia tetap maju,2024-05-01 11:11:27
56,@user-bu4fe4hz8e,wasit gb k sama usbikistin nyogok,2024-05-01 11:00:48
57,@user-lm1ls3bn7r,satu kata buat wasit dajjal,2024-05-01 10:52:53
58,@adebro,sananta striker sering bgt offside ga liat posisi akhir arhan panik bgt sampe bunuh diri,2024-05-01 10:52:37
59,@marnimedang408,kata udah sakti,2024-05-01 10:49:54
60,@Subscriber_pemula,ganti presenter tukang siar iya iya benar salah indo  muak sekali dengernya,2024-05-01 10:47:05
61,@DivaPratama-bg2ix,liat main dengn wasit yg kya viva hrus intro gas,2024-05-01 10:36:34
62,@janet-vn3ri,wasit asuuu,2024-05-01 10:36:11
63,@DivaPratama-bg2ix,wasit nya curang jelas bngt curany nya,2024-05-01 10:25:31
64,@ChefEza_,orang ga ikutin bola kecewa yasudah kalau kalah lapang tetap menang hati karna udah juang baik mungkin tuntut tanding ulang masuk akal orang indonesia karna yakin buah maju masa belum,2024-05-01 10:21:11
65,@ishaqluqmansalsabila,kalah menang biasa ga kecewa,2024-05-01 10:21:07
66,@rival-jh3du,wasit ngga jelas,2024-05-01 10:14:22
67,@alnisnis7762,wasit suru sujud sama gua sini,2024-05-01 10:10:33
68,@thebetel,wasit bagus jadi terus ketua mk,2024-05-01 10:10:20
69,@bangmangap4399,bendera hakim garis angkat padahal tdk ad protes  main sirkus,2024-05-01 10:09:18
70,@NengNeng-xr3lj,mah bayar,2024-05-01 10:07:18
71,@fluppy_undut,tanya anjar  di u23 kan ga israel  kenapa jadi begini  mustinya u16 5 yaaa   aib lu jar   ,2024-05-01 9:59:58
72,@gekkosova,putus putus krusial asal hasil var hasil var udh paling adil jelas netizen indo banyak gak terima nyata wkwkwk terkadang nyata memang pahit fakta kalo protes sama wasit pas lawan qatar nah masuk akal karna wasit ambil putus krusial tolak var,2024-05-01 9:54:24
73,@mattlortjop,eh gol pertama indonesia bukan obset,2024-05-01 9:45:03
74,@Bara4321Barawl,wasit sogak pakeduit,2024-05-01 9:43:00
75,@user-hf4xe4cv7b,gak terima indonesia 0 gak terima ,2024-05-01 9:35:53
76,@ngakakchanel6011,tetap bngga indonesia,2024-05-01 9:33:05
77,@ngakakchanel6011,gak sekali mati aja main uzebekistan,2024-05-01 9:32:48
78,@ngakakchanel6011,alay main uzekistan,2024-05-01 9:32:24
79,@ngakakchanel6011,wasit nanya pilih kasih njir,2024-05-01 9:31:54
80,@abuhurairah2742,kayak tahi masjid dekat kuntul  apa bahasa indonesia,2024-05-01 9:30:50
81,@AgungFida,tau memang car ambil engglenya nyerong gak tarik lurus wasit car thailand iri,2024-05-01 9:23:22
82,@waleh229neh,gw doain yg paha kena ketemu cewek yg suka nendang kontil,2024-05-01 9:18:57
83,@user-lk9rd9lu8k,benar seri wasit nya curang gi indonesia uzbekistan menang ,2024-05-01 9:17:48
84,@HokiSelalu777,bangga,2024-05-01 9:13:58
85,@user-ce2mz2zv6k,wasi asu,2024-05-01 9:06:02
86,@inosukegf7256,uzbekistan asu uzbekistan botttttttttttt jangan sok keras dek lu aja lawan por tuga aja paling portugal menang 100-0,2024-05-01 9:01:23
87,@May-xi9bg,wasit tengil,2024-05-01 8:59:45
88,@mbahnoplin3688,wasit biabi ,2024-05-01 8:51:12
89,@muhammadarifin773,wasit jahanam,2024-05-01 8:50:51
90,@yusman2895,memang offside oper kok,2024-05-01 8:48:54
91,@rahmatking5467,gol pun timnas kalah kelas juga,2024-05-01 10:03:27
92,@user-yk5pv9tf1b,jangan uzbekistan yg did hukum dua wasit itu did hukum larang pimpin seluruh tanding baik even asia atau fifa,2024-05-01 8:42:50
93,@yudhinugraha1595,main main indonesia lokal ulah enosi pancing akhir kartu merah udah goal bunuh diri nah kualitas lokal,2024-05-01 8:42:46
94,@KangsBoekit,tenang aja ciri2 negara masuk piala dunia,2024-05-01 8:42:18
95,@arifmanhm,strategi 4-4-2 baru pas lawan uzbekistan komang teguh main starter bawa untung punya insting gollin,2024-05-01 8:33:45
96,@user-qj2bd9jt7y,bs yo olimpiade,2024-05-01 8:26:01
97,@Silva_DZ,wasit kek p3p3k,2024-05-01 8:25:49
98,@Callyn_666zzz,wasit nyaaa anjiii,2024-05-01 8:24:56
99,@nurbatrisyia-jy2jz,wasit bayar,2024-05-01 8:21:50
100,@Suraissaifudin,aku cinta indonesia ,2024-05-01 8:20:59
101,@user-gz2pg5it1w,wasidnya culas,2024-05-01 8:17:35
102,@GerhanaAlif,wasit telaso,2024-05-01 8:13:53
103,@dennysgusti,menit 12 11 liat umpan dulu posisi offside bola lambung baru kaki sananta ada posisi offside,2024-05-01 8:12:09
104,@user-ny4xe8fc7w,wasit kampang tailan baby,2024-05-01 8:11:44
105,@user-so9wi6yi7v,bayar berapa wasit,2024-05-01 8:04:26
106,@aabrian2497,wasit nya udh g bener mah gimana mau main bagus klw wasit ajah begini,2024-05-01 8:01:11
107,@AhmadFauzi-dm5ib,ga adil,2024-05-01 7:55:11
108,@user-il8rb7wr1h,benar,2024-05-01 7:48:51
109,@zanishyuuga9813,wasit zolim biadab atur gol pasti indonesia menang malah dizolimi wasit var thailand,2024-05-01 7:42:43
110,@clonjura9an170,klo wasit var thai hati2 aja ,2024-05-01 7:42:34
111,@Inpo_jandamu,wasit minta sante9,2024-05-01 7:42:02
112,@Sieng712,wasit jan k,2024-05-01 7:41:57
113,@achiyariyar1276,was it nya during,2024-05-01 7:41:07
114,@bapaksuwanto8346,wasit kurang adil pihak belah,2024-05-01 7:38:44
115,@jupi9325,wasit nya curang ,2024-05-01 7:36:44
116,@Abdurrahman-zk3uq,masalah simple timnas kena pressing lawan lihat passing-passing pendek buntu paksa main lebar renggang jarak antar main harap lepas pressing lawan mahir long pass long ball akhir cuma mutar-mutar area sendiri andal short pass jadi saran short pass long pass dua sama penting long pass mantap latih,2024-05-01 7:36:19
117,@user-zl5sv7qr8g,wajar indonesia kala wasit bayar,2024-05-01 7:32:07
118,@arzaniarzani,kenapa ,2024-05-01 7:31:35
119,@kodratjagat5967,main uzbekistan kaya anak tk senggol sedikit nang,2024-05-01 7:27:36
120,@MufliAhah,pintar sandiwara kiper uzbekistan,2024-05-01 7:26:30
121,@MrGodung,main nya aja kek gitu wasit g curang kalah klu main nya kek gitu,2024-05-01 7:25:46
122,@PROLINXCHANEL135,pinalti g pinalti bola crossing offside aneh,2024-05-01 7:23:50
123,@Glorymusik44,jelas kalah kualitas perlu ajar tingkat kalo suporter blajar sportif terima kalah  masak mau lapor mk ,2024-05-01 7:22:54
124,@professorbalap,bilang indo kalah wasit curang jgn tutup mata telinga bawah level main timnas jauh bawah uzbek anggap aja lg sial grgr wasit tp untung bnyk uzbek sering bgt kena tiang gentlemen lah utk terima kalah jgn rengek minta match ulang capai timnas jauh sangat baik patut bangga,2024-05-01 7:22:10
125,@8a-12-diviasandhitasekarpe7,tim papan atas menang bantu wasit,2024-05-01 7:21:59
126,@syarifullahibnomar2070,bad referee,2024-05-01 7:21:36
127,@radrez3239,uzbekistan menang jujur moga final ngalahin jepang bangga terus kalah indonesia jadi juara arti lawan main2 juara asi 1,2024-05-01 7:21:14
128,@suryarahfad7737,laaaah bs kalah gitu g sampe k final piala afc musim ini pdhl kmrn ngomong pake simbol garuda naga krn slama timnas sepakbola indonesia ga ad juluk apa2 sama sekali negara juluk nya bnr2 fikosofi nya bangeeeetttt jgn2 timnas sepakbola indonesia cm musim an lagi wkwkwk wkwkwk wkwkwk nyata ud mau dpt skor menang 1 angka lbh dulu dr uzbekistan u timnas sepakbola indonesia tuhhhh kmrn2 mana ud neng lebih itu krn tular sama juta an rakyat indonesia yg ud neng lebih an sampe neng nya lupa darat an baru kalah kan korea selatan yg sangat drama wkwkwk wkwkwk  allah tau hasil sepenuh nya dr berita tanding itu krn kmrn bilang pake juluk garuda naga bs2 juluk kaya jd nyaaaataaa bukti nya timnas sepakbola indonesia dulu an cetak goal dr uzbekistan babak k dua wkwkwk wkwkwk  yg tau tum pssi skrg kelompok nya 9 naga nya kmrn2 ide timnas sepakbola indonesia garuda naga   klo hasil nya bgitu liat nya kaya musim an aja skrg ini  wkwkwk wkwkwk   kadang kadang mikir yaaa rakyat indonesia banyak yg ekonomi nya susah kok begitu rela nyaaaa jd dukung timnas sepakbola indonesia yg ud jls ad duit hadiah nya sangat fantastis u para2 main timnas sepakbola indonesia urus nya  nya rasa jd takut klo sampe trs2 an ikut ikut an dukung timnas sepakbola indonesia hidup lg serba susah gin kaya asa makin sengsara makin berat bangetttt jalan hidup hantuin sama org2 zooooliiiimmmm yg diam2 terencans tp gaaa lihat mata kaya mau ad yg nyelaka in dr kelompok klo dukung timnas sepakbola indonesia tambah asa mau bikin sengsara sampe bnr2 jd susah jalan hidup klo sampe ikut ikut an juta an org indonesia dukung timnas sepakbola indonesia yg klo cm musim an yg pdhl timnas sepakbola indonesia dr lawan australia smpe lawan yordania resep khusus tuuuhhh smoga pd g percaya yaaa wkwkwk wkwkwk  allah timnas sepakbola indonesia laju lg lawan korea selatan komitmen khusus yg org g taaaau hasil nya subhanallaah yaaa  makanya bsk2 slama lama nya u timnas sepakbola indonesia gaaa ikut ikut an dukung aaaaahhh alas nya jls yaaa   pd gaaa taaauuu yaa ud coba kmrn2 klo g pikir ingat sama timnas sepakbola indonesia   nyata lhooooo wkwkwk wkwkwk  kaya aff lalu2 smoga pd lupa  indonesia vs thailand ad leg pertama k  hahahaha hahahaha  indonesia kan banyak ulama keren keren banyak ahli ibadah yg pd pamer pamer ayokkk coba urus timnas sepakbola indonesia u lanjut wkwkwk wkwkwk wkwkwk   tambah banyak pakar sepak bola kaya raya wkwkwkkw wkwkwkkw ,2024-05-01 7:20:27
129,@sam_ngalam,mau tanya hirup tanding menit 15  41 apa ,2024-05-01 7:15:01
130,@the1031,gapapa kalah  lolos semifinal aja udah luar biasa meski u23 tpi level nya afc bukan aff,2024-05-01 7:11:05
131,@Nurhasanah-fp4ox,eeehhh cancok tuh wasit,2024-05-01 7:08:07
132,@goodjob9918,curang,2024-05-01 7:04:59
133,@iqbalhasibuanofficial,rizky ridho ,2024-05-01 7:03:00
134,@gederanta1730,wasit gumana sih karna sdh bunyi lepri,2024-05-01 7:02:23
135,@SriWahyuni-cq2vu,curang wasit jelas latih jepang mau lawan timur tengah takut curang indonesia vs uzbekistan,2024-05-01 6:48:44
136,@rianindriana9017,wasit na gobloh,2024-05-01 6:48:35
137,@user-dy3iw7vv3t,wasit kok sogok huuuuuu bilang takut kalah,2024-05-01 6:47:55
138,@Omie.388,wasit tailand is people crazy,2024-05-01 6:45:44
139,@JKT48ADEL9,wasit te kok ngonoto,2024-05-01 6:39:31
140,@NaylaayuRiskiana,wasit asu,2024-05-01 6:31:24
141,@RiswanBudi26,mantap reporter baik panjang rajah bravo indonesia,2024-05-01 6:27:35
142,@ahmadzaelani5983,tetap timnas dada ayo,2024-05-01 6:13:47
143,@Noebatosai,var kok miring sama otak wasi,2024-05-01 6:07:27
144,@RiswanBudi26,masuk tanding buruk panjang sejarah,2024-05-01 6:04:13
145,@UpikVira,wasit gosi,2024-05-01 5:59:20
146,@bacakomik6556, tendang krpala wasit tendang kepala wasiittt,2024-05-01 5:51:18
147,@QoryQurrotuaini321,wasit ny berat belah 0 07,2024-05-01 5:44:15
148,@qwertyuiopasdf2998,tim indonesia,2024-05-01 5:41:58
149,@AldhianBagus,wasit nya curang anj,2024-05-01 5:25:41
150,@NazirsyahNazir,12 11 offside darimana nya ,2024-05-01 5:06:44
151,@muzaraDin,bot,2024-05-01 5:04:35
152,@SelfiaTugerfai,indo sdh bgs tpi kurang skill ,2024-05-01 5:01:16
154,@atikninatriutami5318,prat prit part prit wae,2024-05-01 4:55:48
155,@atikninatriutami5318,wasit saraaappp gol ferrari batal jalan cerita bakal lain,2024-05-01 4:57:08
156,@dwikorahardohistiajid5640,berat behel sananta,2024-05-01 4:54:18
157,@dwifajar4607,alhamdulillah ,2024-05-01 4:53:55
158,@orchenanga,meski uzbekistan bukan salah satu negara juara sepak bola salut skillnya stamina passing strategi atas rata rata tim indonesia,2024-05-01 4:53:40
159,@AsmrCookIndonesian,16 57 bung ahay bung ahay salah mulu  main uzbekistan lahir 15 mei 2022 ,2024-05-01 4:51:14
160,@mischa725,ramadan sananta jangan pasang,2024-05-01 4:40:38
161,@irwansetiawan7534,akhir ngerasain yg rasa fans korea kemarin gol pertama anulir kartu merah babak dua beda punya sempat lolos olimpiade,2024-05-01 4:38:16
162,@user-my2ek7qo5x,no fair play,2024-05-01 4:31:32
163,@user-fq3vb9co7j,wasit bela uzbekistan,2024-05-01 4:29:59
164,@akasakaryuu8206,punya orang main punya skill individu lewat beberapa orang main,2024-05-01 4:29:13
165,@ucizainal7214,wasit lawak,2024-05-01 4:26:02
166,@GuruPedalamanKalimantan,timnas dadak demam lapang kalah segala2 atas uzbek tekan awal akhir bikin main drop bukan krn gol anulir tp drop krn kaget lihat uzbek yg sangat2 bagus rancak,2024-05-01 4:24:40
167,@AngeloSyahputra-yc6tx,gula,2024-05-01 4:24:03
168,@sinoksrinita1994,jelas2 tackle langgar malah bersih kocak,2024-05-01 4:23:41
169,@habibi1221,jir wasit anjin,2024-05-01 4:22:04
170,@RAYANZ747,ayo indonesia,2024-05-01 4:18:20
171,@gendonasolole3574,waseikatol,2024-05-01 4:16:35
172,@yanisamanresmidiindonesiad1834,udh keren jgn terlalu fokus salahin wasit dr match sty pnya pr yg mesti benah lino witan kad terlalu jauh dr jangkau ivar natan arhan bbrpa kali dlm match sering telat nutup ruang pas serang perlu latih fisik lg sih ku liat lawan uzbek kalah kualitas fisik timnas bkn masalah tinggi badan tp daya tahan body ball nya bener hrs tingkat kalo mau berssaya level dunia sty bnyk pr utama dalam skuad game plan pake struick trs pake sanata bener liat bgt kaku nya,2024-05-01 4:15:19
173,@soenyalfaruq9995,uzbekistan doping,2024-05-01 4:07:59
174,@OppoJujur-mj8sw,aq sangat syukur tim indonesia lawan abkasitan tetap semangat indonesia ,2024-05-01 4:04:54
175,@user-ff1zx9ln3k,wasit asuh,2024-05-01 4:04:12
176,@sudirmanpalopomantap3134,waset komtol,2024-05-01 4:01:24
177,@user-yr8oh1ne2t,indonesia mainanya ngawooorrrr cik,2024-05-01 3:57:13
178,@MUSTANICEByTukangMarah,karna kamera var 100persin akurat benar,2024-05-01 3:54:16
179,@user-ds2ro7ej9x,neng bgt channel olahraga yg nguasai trending  jangan kpop channel luar mulu indonesia ,2024-05-01 3:43:39
180,@alitopan7483,uzbekistan menang jalur haram,2024-05-01 3:41:45
181,@ayutarusofficial8589,wasit kayak gitu hajar aja,2024-05-01 3:38:40
182,@DediFebri-jt8rl,garuda muda indonesia ,2024-05-01 3:38:10
183,@itas83,absen rafael rasa banget depan gaada alih back uzbek beda sekali pas lawan aus jordan,2024-05-01 3:36:29
184,@rifkysadega6116,wasit curang wasit curang padahal uzbekistan salah bukan indonesia,2024-05-01 3:35:55
185,@HambaAllah-bf4wo,moga hasit nya meninggoy curang banget njirrr,2024-05-01 3:33:59
186,@wulanpurna7559,dasar wasit makan suap,2024-05-01 3:25:23
187,@CHANELPUTRA36,ulang wasit sama far curang,2024-05-01 3:22:25
188,@saptonitoni6745,moga allah balas uzbekistan,2024-05-01 3:09:28
189,@Wan1986,wasiat asu,2024-05-01 3:04:15
190,@JohniAgus-tg5ch,menit 60 20 jelas gollllll indonesia fakta  perhati bola mai baik2 percaya min uzbekistan no4 sdah brada d blakng,2024-05-01 3:02:45
191,@user-hm9ep9id9k,jangan pernah main curang sepak balo klo gk mau puna masalah faham wasit,2024-05-01 3:02:17
192,@joskris24,uzbekistan adil,2024-05-01 2:59:45
193,@WandiSalon,ppp,2024-05-01 2:59:11
194,@user-en8gs9fm9d,12 35 offside maaf kurang ngerti,2024-05-01 2:58:02
195,@ZiandraAprilio,aturanya finalti kok enggak vinalti kurang ajar bner wasit kampang,2024-05-01 2:56:38
196,@zulnasyaaca7058,wasit nya curang bgus nya d bnuh sja wasit ni smoga wasit nya mti enggak adil,2024-05-01 2:55:03
197,@HendriSenjaya-om7gg,emng kena sundul main indonya,2024-05-01 2:54:46
198,@HendriSenjaya-om7gg,wasit pantek,2024-05-01 2:54:01
199,@bongbongaritonang4397,klu emang main nya lma dri dlu enggak d ganti adabtasi main nya udh jdi kompak nya bgus eper bola sha ennggak kaku pas posisi d msing2 krna udh lma main nya kompak klu d ganti trus blik k nol blajar lgi,2024-05-01 2:52:43
200,@TreyFebriyan,mau bikin tim yg kuat hrus nya indonesia main nya dri dlu hingga skrg jgn d ganti2 klu d ganti pas main nya udh mau pinter ibarat nya sklh udh mau kulyah ganti main bru blik lgi sklh kls smp gmna mau jdi tim yg kuat,2024-05-01 2:49:51
201,@HendriSenjaya-om7gg,wasit tegoboklok tolo suruh siapa main licik gentian main curang,2024-05-01 2:48:32
202,@HendriSenjaya-om7gg,wasit nya bayar,2024-05-01 2:46:25
203,@lilikpuspitorini4694,suguguh gw kcewa sma wasitnx pedahal gool karna upan labung bukan main idonesa pertama kena bola lah gol gool cobk tonton misee posisi ofdset tpi tak sentuh bola langsung temnx datang ambil lah tendang sah gool,2024-05-01 2:44:43
204,@sarnipabuntang-ot8wj,highlight 20 menit gol 2 kagak ditayangin lawak,2024-05-01 2:44:43
205,@wayansuene2217,dong wasit nyaaa history udh keliataaan bosssss,2024-05-01 2:43:30
206,@yzz4982,bobrok,2024-05-01 2:42:21
207,@nonamanis3586,gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg indonesia vs uzbekistan frost diamond boo tpip o bo bo bo bocil offieail o gaat,2024-05-01 2:38:26
208,@ahmadmaulana2163,curang wasit nya,2024-05-01 2:38:16
209,@mcthekanjeng,curang wasit nya,2024-05-01 2:31:25
210,@AdhyastaAlvaro,wasit nya bayar,2024-05-01 2:19:31
213,@AdhyastaAlvaro,akhir indonesia menang,2024-05-01 2:18:24
215,@gilngadrnsyh151,20 11wui juri curang kalau buluh aja juri,2024-05-01 2:18:00
216,@w1ldn243,wasit wasit,2024-05-01 2:17:37
217,@imamchaerunnadjibwiguna-xw5pb,memang wasit buta nama wasit abis rumah sakit jiwa wow,2024-05-01 2:12:57
218,@farhanrizky2591,kalo gol mana bi ss a opaetkob,2024-05-01 1:56:22
219,@clarissa_2621,wasit nya curang kon asu,2024-05-01 1:53:05
220,@MuhammadarifArif-vy3ul,wasit golok,2024-05-01 1:50:53
221,@fahrulgamingfanny,wasit nya sangat curang biar uzbekistan menang lah memang wasit kurang ajar wasit bujang ,2024-05-01 1:48:07
222,@mailsinaga7472,wasit dancok,2024-05-01 1:38:56
224,@SerlinaPutri-ob3sj,wasit mk,2024-05-01 1:37:16
225,@AndrianSyah-xc6zd,memang wasit pantek,2024-05-01 1:36:23
226,@mailsinaga7472,mau kalah apa lanjut olimpiade paris,2024-05-01 1:35:22
227,@user-hw9uu9gc2i, msh jauh untk mlangkah  terlalu foya awal pdahal msih awal,2024-05-01 1:35:10
228,@GinenPryanto,wasetanjeng,2024-05-01 1:32:53
229,@user-lb1ur1iu4d,usbekistan walaupun pegang bola gk menang klo gk bela wasit,2024-05-01 1:31:27
230,@rckystts9330,yg sama kecewa sini ngumpul tapi bangga sama timnas tembus semi final,2024-05-01 1:27:43
231,@yeremiadwigamers,mana cuplik varnya kok ga sprti liga inggris,2024-05-01 1:25:52
233,@ACHiiL609,wasit kutul,2024-05-01 1:21:25
234,@waknano118,wasit curang,2024-05-01 1:17:00
235,@user-mf9ku5hw2r,sangat bangga indonesia menang kalah tetap ku dukung,2024-05-01 1:13:55
236,@khoyrulcellputranapo8666,ga usa komen timnas dodol,2024-05-01 1:11:46
237,@leonlocal9013,gua dan liat cara main uzbekistan banding main indonesia semangat buat uzbekistan ,2024-05-01 1:07:19
238,@pakparman1152,wasit gblkkk,2024-05-01 1:06:21
239,@MuhamadAmin-un8nk,wasit nya kayak yg d hutan itu,2024-05-01 1:06:20
240,@KenzieAzka-gd3kn,21 14 wasit bintang,2024-05-01 1:05:29
241,@RIkofirnando-dx2dt,curang,2024-05-01 1:04:27
242,@ragamwarnadunia2306,asik nonton mai garuda muda,2024-05-01 1:01:56
243,@AskaAskaGulo,wasittai,2024-05-01 0:48:15
244,@DhaniKZ01,apa wasit mesti wasit kayak gitu keluar lapang udah jelas pihak pihak,2024-05-01 0:46:12
245,@EndenMarlina,semua org jg tau main benar kacau tp koq wasit nya parah gitu,2024-05-01 0:41:43
246,@Marolop_sinagaMarlin,semangat meski didzolimi,2024-05-01 0:41:12
247,@GracelloHanzel,p,2024-05-01 0:40:47
248,@suharsonopapianto2199,semangat indonesia,2024-05-01 0:39:01
249,@FauzanAlifakbar,main timnas indonesia bagus hanya sj wasit yg pihak tim uzbekistan agar timnas indonesia menang maju wasit fuck,2024-05-01 0:38:54
250,@RubinPembutahharapan,wasit nya ngak jelas kan,2024-05-01 0:35:38
251,@fahmifahrezi9764,wasit nya bungul otak nya tatinggal higa lawang,2024-05-01 0:33:45
252,@beritakekinian8454,jadi riski rido mirip messi buah kartu kuning bukan kartu merah wasit perlu usir beneran dunia sepak bola,2024-05-01 0:25:58
